gene	chr	tpm	pcon	phicpm	pchcpm	patcpm	phichat	eatcpm	ehicpm	ehichat
Ppp1r42	chr1	0.3003821148	1	74	0	3.514997024	0	42.81370297	1131	303.0516687
Cops5,Cspp1	chr1	189.1157924	42	1131	10.59127642	42.81370297	4631.776179	199.7017512	1562	814.1367938
Gm7160,Zcchc2	chr1	41.6595355	7	178	6.448309387	78.98138891	742.1322471	39.55054384	274	308.3457457
Gm20753,Phlpp1	chr1	18.97987928	8	100	6.121244707	26.67559645	475.7499514	92.60821224	323	112.2273351
Bcl2	chr1	0.9633657007	1	12	3.980174006	5.081084807	36.74261639	22.1354318	78	46.11776674
Kdsr	chr1	13.84713566	1	29	5.806823807	21.67177694	100.0338109	22.1354318	78	111.4512696
Vps4b	chr1	57.70458908	4	78	8.616880552	22.1354318	299.7654838	36.10468869	124	254.9354697
Tsn	chr1	33.18853418	2	27	7.552540668	7.967326589	85.62306169	49.28058229	169	98.15517764
Nifk	chr1	180.6252758	4	52	5.342063293	6.675114541	128.8613252	49.28058229	194	98.57749273
Clasp1	chr1	97.78383452	6	124	9.261667595	28.79164942	472.1214745	35.131374	224	256.4774355
Tfcp2l1	chr1	132.046975	1	17	3.874509631	25.86653454	31.67681055	0	44	26.30044862
Ralb	chr1	167.351088	3	99	7.230672522	18.47370595	414.1091628	39.85755554	351	185.2374362
Tmem185b	chr1	113.9477075	2	99	4.207442222	39.85755554	211.8754621	18.47370595	290	220.7924365
3830432H09Rik	chr1	0.7849607831	6	191	4.433435841	0	293.1365823	85.89654662	304	544.4241508
Epb41l5	chr1	23.90902623	1	17	5.224434602	19.52249533	42.67653642	0	191	26.09069057
Tmem37	chr1	105.42938	5	152	6.690183472	15.43169425	390.8686924	17.00305696	323	312.730784
3110009E18Rik,Dbi	chr1	652.1601804	3	55	5.136581324	22.63346619	173.5015785	14.16518635	155	179.2698221
Actr3	chr1	146.1288224	4	145	5.391582134	64.23888416	324.9392097	75.95016858	531	411.2746184
Gm28706	chr1	0	1	19	0	0	0	66.04107597	408	96.72291972
Slc35f5	chr1	60.85297884	14	408	8.285611589	66.04107597	2076.997434	64.23888416	609	394.9346965
Mgat5	chr1	16.55986195	2	52	4.305462588	15.41335594	129.9116881	0	103	48.66365167
Ccnt2	chr1	69.48559393	1	16	8.079933951	58.5793093	67.03165688	0	16	0
Rab3gap1	chr1	68.90989242	1	20	9.396396048	21.86357549	95.6898412	0	20	20.98320854
Dars	chr1	313.726373	4	52	11.50625192	22.24272471	289.0072738	10.74026869	52	33.53805508
Cd55	chr1	168.4247546	2	33	10.50265527	9.106209908	100.4656188	0	56	62.68633193
Gm29427,Yod1	chr1	9.413423159	5	141	10.10545508	28.76990334	689.4752154	45.14874294	943	257.0113405
AA986860	chr1	4.395017583	3	105	6.656570709	6.489225276	283.3827026	67.429421	945	374.3026503
Mapkapk2	chr1	147.184924	2	85	8.279301529	21.07055461	380.0890058	45.65270546	871	199.8771016
Dyrk3	chr1	86.22680798	12	734	7.38174773	38.65951766	2237.267997	123.7374796	1447	1464.348541
Eif2d	chr1	97.26921357	6	298	8.776313667	8.742886	792.0902613	48.95408388	1206	775.2949348
Fam72a,Srgap2	chr1	97.07227598	3	135	5.867877871	51.67172255	514.6230359	38.65951766	885	177.0535165
Slc41a1	chr1	15.48262212	1	17	7.131667913	9.72528821	72.43536304	24.89114636	221	81.18319419
Nucks1	chr1	228.2910529	8	221	12.85682517	24.89114636	1055.381524	34.34586822	876	531.034191
Slc45a3	chr1	16.59259228	2	48	4.028956533	15.26552111	150.5573616	34.24620526	695	207.1118583
Elk4	chr1	17.1798415	23	474	7.018752303	9.355058896	1739.541179	63.03361578	1335	764.9549795
Cdk18	chr1	12.75775924	1	20	5.288244858	4.701588377	48.74684834	9.355058896	474	73.39836198
Nuak2	chr1	23.90055346	4	96	7.563988313	17.1937391	398.2184034	19.05738078	430	164.386995
Tmcc2	chr1	9.071959905	1	14	4.052588975	4.749995979	29.5483921	30.54699795	34	57.37243873
Dstyk	chr1	16.8258669	2	34	5.708799113	30.54699795	139.3330655	20.59145257	34	90.45244904
Rbbp5	chr1	42.28225234	1	20	7.713378423	15.84145659	60.90405694	30.54699795	34	81.96062676
Mdm4	chr1	92.9555768	4	186	9.563421038	7.917443792	536.0051823	21.3544394	693	441.0518916
Pik3c2b	chr1	10.05154218	1	30	4.444752472	12.34570521	104.8265385	21.3544394	408	106.9974536
Ppp1r15b	chr1	125.3303295	14	408	6.837890202	21.3544394	1455.16537	86.76315499	699	873.5449196
Etnk2	chr1	8.585572539	1	16	3.552264173	17.96381223	60.81115286	21.3544394	408	57.06530861
Sox13	chr1	11.37208277	2	23	4.036022982	6.110299487	61.24566838	14.99484653	62	85.12960617
Gm26706,Snrpe	chr1	223.9060681	6	64	15.56587824	24.27314379	352.7175255	27.78711369	493	58.12990923
Gm38394,Zbed6,Zc3h11a	chr1	5.755996544	5	172	9.368465235	17.10012015	586.4048087	52.89050026	1872	385.7377301
Lax1	chr1	4.300053645	7	229	6.979939656	5.516494324	479.4552983	64.47412609	1825	565.8707103
Ncoa2	chr1	50.74178752	5	106	11.86798703	57.51699433	561.5845058	9.529293881	106	71.99648675
Btg2	chr1	264.6953274	8	609	6.709981257	11.69725831	2004.005368	107.3663018	2701	1708.269937
Tmem183a	chr1	81.08486116	3	86	11.08209241	10.4819418	359.4950595	63.28268193	857	185.8788772
Cyb5r1	chr1	55.29420075	2	172	5.036423674	4.472006392	572.8059311	32.52645797	682	373.6740882
Adipor1	chr1	210.2064163	14	640	5.786739658	32.52645797	1431.801222	96.57266599	2128	1294.77772
Klhl12	chr1	37.3123628	1	24	6.631224671	11.46660615	83.30360734	32.52645797	640	53.69254582
Rabif	chr1	31.08914926	4	79	5.780027132	30.75622396	235.1561323	59.3995776	791	280.2828155
Kdm5b	chr1	91.71576056	1	18	10.16723214	9.226867189	69.87476698	0	18	17.750498
Arl8a	chr1	103.1953448	3	37	12.91331352	24.69421934	167.9750341	14.11020234	161	71.64537214
Elf3	chr1	52.95528687	6	103	6.816387237	5.32270978	238.2850688	49.80437177	220	120.5626392
Rnpep	chr1	51.66157392	1	21	6.551852718	14.67952471	49.89363935	8.787492561	48	48.58239267
Timm17a	chr1	27.64396022	2	36	5.807499206	10.83919787	78.76134169	16.3323269	144	73.54874775
Gm38399	chr1	4.087851369	3	41	6.61429099	15.08795893	119.7888567	30.95310503	388	88.49672605
Csrp1	chr1	429.1049419	5	105	8.298611439	0	398.3175263	32.7101543	552	206.4014342
Phlda3	chr1	94.12388071	8	326	6.007216868	22.99946213	807.6550544	48.39151368	755	839.1617703
Tram1	chr1	172.0145243	3	77	21.82528725	52.57839325	419.7009816	32.27026899	280	301.536141
Tmem9	chr1	65.84593982	1	9	5.95847468	16.73700015	28.75360968	13.74056398	119	42.99836838
Inava	chr1	10.25412385	5	119	10.8807491	13.74056398	568.533982	32.64347403	130	230.674024
Camsap2	chr1	66.81281345	4	72	6.331775663	42.3890076	229.8813793	31.19671094	94	255.5565343
Ddx59	chr1	36.32641855	1	14	10.50123388	15.29023706	75.91743249	42.3890076	72	44.69915709
Kif14	chr1	16.90694725	2	33	6.183562041	15.90647388	115.9487529	56.12957158	191	140.227889
Gm33994	chr1	0.6011362604	2	38	3.94715111	0	40.58328742	8.68602036	579	64.88021155
Lactb2	chr1	35.95465954	3	103	9.065286934	24.55442186	518.1506094	60.29424038	206	246.5251595
Platr23,Zfp281	chr1	107.6066091	1	13	6.693380559	13.93611155	62.54182888	8.68602036	481	24.91311302
Gm19705	chr1	23.04779884	4	138	3.005193616	0	165.8947244	32.31867543	661	276.9390009
Platr22	chr1	5.138975192	16	481	5.579200916	8.68602036	921.7851816	46.19751712	728	808.0902274
Nek7	chr1	35.93463591	4	70	6.307782126	40.51229766	250.5088335	11.59418298	134	99.2051614
2310009B15Rik	chr1	6.060321729	1	9	5.848766341	28.11997619	31.97754762	0	9	0
Zbtb41	chr1	16.1450339	1	30	8.50966757	41.55184958	153.6502391	21.06413658	30	101.7223301
Aspm	chr1	66.38918408	1	30	8.64718484	21.06413658	101.7223301	41.55184958	30	153.6502391
Cdc73	chr1	15.56739854	6	262	9.472537205	26.4323925	1095.411213	58.45729474	380	565.3716659
Glrx2	chr1	8.691685389	1	51	5.967423707	9.019965909	211.3019885	26.4323925	262	213.2289002
Trove2,Uchl5	chr1	122.8676876	1	29	9.495484535	40.64983627	141.2124898	26.4323925	262	121.247806
Odr4,Tpr	chr1	456.8841532	4	75	11.07159039	35.58553117	380.8373035	6.695232427	127	70.72073317
Ivns1abp	chr1	75.97882294	8	99	7.448405606	51.8593951	386.7079697	5.107260634	122	0
Swt1,Trmt1l	chr1	110.5515954	1	9	8.67562459	48.30920017	38.44212054	0	21	0
1700025G04Rik	chr1	146.0191845	1	12	10.78035426	8.400621819	53.67854321	0	12	13.18610132
Rgl1	chr1	24.90100854	1	10	4.101244197	9.100947671	20.67538844	0	10	9.961729566
Arpc5	chr1	186.8455719	6	119	11.63483993	56.37032069	697.067906	59.78075754	1090	310.0374223
Smg7	chr1	68.50516043	26	533	9.301205541	25.45807644	2757.521284	138.1173001	2150	805.3988249
Lamc1	chr1	132.08086	12	392	6.641675957	26.00631285	1607.629458	84.80063726	1668	561.5306404
Dhx9	chr1	179.1971369	4	68	7.881463706	37.24738873	218.6423786	29.69146702	685	126.0364864
Npl	chr1	4.136760536	1	10	0	0	0	4.000809621	32	35.63145603
Rgs16	chr1	27.37836081	3	59	0	9.135020515	0	6.276780401	242	128.9884948
Rnasel	chr1	8.875445156	3	32	7.575260914	4.000809621	114.0206593	0	75	31.61625044
Glul	chr1	269.0026866	8	134	6.139132918	11.50362663	613.8148598	18.20427417	335	22.80337483
